sig2,gene,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,Correlation,P-value
,ENSG00000116138.12,1,0,0,0,0,-0.690313984,-0.446637256,-0.456076849,-0.482479538,-0.525624338,-0.951839023,0.012595467
,ENSG00000284543.1,2,0,0,0,0,0.769812347,2.309323415,2.020245009,1.967814161,2.177922351,-0.976056234,0.00443156
,ENSG00000225313.5,2,0,0,0,0,-3.702625211,-2.785567147,-2.84783385,-2.909862229,-3.016448944,-0.973578607,0.005134979
,ENSG00000281912.1,1,0,0,0,0,-1.890739264,-1.163664939,-1.039448595,-0.935646121,-0.708136379,-0.92770379,0.023080254
,ENSG00000182183.14,4,0,0,0,0.258558383,3.929920492,4.884227605,4.762866716,4.634707814,4.957002602,-0.939734259,0.017598442
,ENSG00000223949.6,20,0,0,0,0,1.182734689,2.413061551,2.174749794,2.378928443,2.01271718,-0.946423419,0.014766414
,ENSG00000162676.11,11,0,0,0,0,-0.570364851,1.810691478,2.484400571,2.079682957,2.593746555,-0.970189325,0.006150919
,ENSG00000283761.1,26,0,0,0,0.586483416,0.687793223,4.333122725,3.249694794,3.8649382,4.340846994,-0.952656582,0.012277639
,ENSG00000118733.16,19,0,0,0,0.113787254,4.77327628,6.010828908,6.041887982,6.190042262,5.78597514,-0.968641571,0.006634556
,ENSG00000116299.16,3,0,0,0,0,-1.814281778,-1.332093896,-1.30698233,-1.365843491,-1.352783068,-0.994549463,0.000482656
,ENSG00000174151.14,10,0,0,0,0,-1.718120328,-1.507277167,-1.499710676,-1.577112851,-1.543824457,-0.937353578,0.018644665
,ENSG00000156097.12,22,0,0,0,0,-0.090349421,1.280443769,1.142760583,1.201016362,0.849556284,-0.957544919,0.010433816
,ENSG00000197956.9,7,0,0,0,0.443504556,-3.29957337,-1.582854987,-2.204540475,-1.401830134,-2.045483875,-0.907222077,0.033447428
,ENSG00000224985.1,1,0,0,0,0,0,4.297863856,5.328913341,5.872672142,5.176242123,-0.971345785,0.005797505
,ENSG00000173110.7,2,0,0,0,0,-3.690292351,-1.026177703,-0.019974824,0.513451612,-0.189851293,-0.943199304,0.016111246
,ENSG00000117601.13,1,0,0,0,0,-2.811785913,-0.136757208,0.851919168,0.38925136,1.0099759,-0.958073036,0.010240559
,ENSG00000118193.11,4,0,0,0,0,0.169412662,0.246281675,0.269345553,0.222319618,0.248400378,-0.900566762,0.037071948
,ENSG00000081277.12,23,0,0,0,0.125209147,0.223722679,1.424192523,1.172812001,1.351100998,0.988301895,-0.938296504,0.018227938
,ENSG00000143473.12,16,0,0,0,0,-2.179353439,-0.5785532,-1.237504162,-1.03479913,-0.925076617,-0.917859934,0.027908845
,ENSG00000233771.2,0,0,0.736118713,0,0,-1.560346759,-1.377788226,-2.039796387,-1.395449115,-1.399702649,-0.964920112,0.007845536
,ENSG00000162913.9,6,0,0,0,0,-2.391817365,0.106102517,0.402942612,-0.065113075,0.239225546,-0.988917223,0.001398246
,ENSG00000138031.14,10,0,0,0,0,-2.374845448,-2.272958699,-2.230716186,-2.257916396,-2.269672217,-0.953122302,0.01209778
,ENSG00000157856.10,3,0,0,0,0,0.868571648,1.723437676,1.649941906,1.797228829,1.779168857,-0.989273568,0.001331425
,ENSG00000279956.1,2,0,0,0,0.812337797,-1.070697453,-0.874340895,-0.843098256,-0.900304461,-1.010920113,-0.941419125,0.016869966
,ENSG00000115239.21,10,0,0,0,0,0.96141175,1.636204316,2.023059587,2.134487572,1.763784795,-0.902004143,0.03627909
,ENSG00000172985.10,0,0,0.189260507,0,0.919935461,-6.493529027,-5.786393417,-5.931064928,-5.338346417,-8.004147098,-0.902169161,0.036188417
,ENSG00000144355.14,19,0,0,0,0.498667527,-1.809655447,2.263591389,1.404042159,2.587034763,1.140283767,-0.945453828,0.015166824
,ENSG00000236449.1,10,0,0,0,0,-2.774699622,2.179367625,2.222125941,1.83650037,1.726239903,-0.995005473,0.000423399
,ENSG00000144488.14,3,0,0.070430802,0,0,0.418133152,1.524711498,2.1754127,2.209238468,2.203425657,-0.924416165,0.024659891
,ENSG00000213048.3,1,0,0,0,0,-1.391841455,0.276562786,0.274172656,0.227762505,0.10980608,-0.995632986,0.000346199
,ENSG00000134121.9,6,0,0,0,0,-0.465096009,0.516423927,0.396575864,0.749678306,0.643157471,-0.961744609,0.008930277
,ENSG00000134072.10,4,0,0,0,0,-0.771855905,0.211335411,0.392433937,0.352981188,0.1420733,-0.977078282,0.004151507
,ENSG00000244607.5,16,0,0,0,0,-3.15973419,-1.063117118,-1.609874728,-0.989012377,-0.707902146,-0.942832359,0.016266708
,ENSG00000235236.1,3,0,0,0,0,-0.576680956,1.237799974,1.410470073,1.029652589,2.090099939,-0.915126334,0.029301214
,ENSG00000114349.9,13,0,0,0,0,-0.891146514,2.748278064,1.779153424,3.303917951,2.194296864,-0.935343892,0.01954298
,ENSG00000271266.1,1,0,0,0,0,2.869996934,4.675414053,4.179317031,4.456104218,4.15206384,-0.952133884,0.012480533
,ENSG00000181322.13,21,0,0,0,0.219281277,0.721777739,1.821513307,1.557191214,2.14660307,1.765041551,-0.919455682,0.027106189
,ENSG00000243415.2,5,0,0,0,0,-3.300597609,-0.661481067,0.963063111,0.312502184,-0.211209219,-0.92908649,0.022426061
,ENSG00000234197.1,4,0,0,0,0,-2.442158051,0.196899321,-0.774199872,0.165135596,0.05875782,-0.935002463,0.019696954
,ENSG00000249252.5,55,0,0,0,0.763097105,-2.971505937,-0.332527267,0.280732271,-0.358423611,0.531935525,-0.958113658,0.010225744
,ENSG00000249502.1,2,0,0,0,0,-1.903772657,-0.506643203,0.539624766,-0.155937184,-0.116270246,-0.909066792,0.032464106
,ENSG00000163116.9,3,0,0,0,0,-1.919123143,0.282277257,0.640242682,1.061024947,0.466869198,-0.969100919,0.006489766
,ENSG00000236699.8,10,0,0,0,0,-1.222283977,1.00907954,0.83971365,1.97236013,0.669965491,-0.901003355,0.036830545
,ENSG00000182631.6,4,0,0,0,0,0,3.586505262,4.91525325,3.533717938,4.420983189,-0.953553883,0.011931882
,ENSG00000145623.12,2,0,0,0,0,-5.694956942,-5.115829011,-5.257287514,-5.246430506,-5.117474409,-0.958748784,0.009995012
,ENSG00000082074.16,3,0,0.630051082,0,0,-6.553682708,-2.899680182,-2.874072375,-2.355622706,-1.881551744,-0.976758832,0.00423839
,ENSG00000251467.1,0,0,0.617401197,0,0,3.914043434,3.668721743,2.715886699,4.06575936,3.546302623,-0.922082184,0.025801618
,ENSG00000197208.5,6,0,0,0,0,-4.387753367,-3.398197594,-3.235439781,-3.334923509,-3.68220294,-0.934524729,0.019913055
,ENSG00000113327.16,12,0,0,0,0.232271349,6.108166202,6.606249506,6.792825364,6.973073406,6.862649851,-0.918192828,0.027740778
,ENSG00000124664.10,2,0,0,0,0,-1.360708295,1.172053572,1.677099889,1.623612453,1.513204141,-0.988390811,0.001498922
,ENSG00000146192.14,1,0,0,0,0,2.211240117,2.912403877,2.70732673,2.955587396,3.038808955,-0.930320738,0.021847269
,ENSG00000112175.7,18,0,0,0,0,5.226748162,6.513284747,6.561361934,6.940134875,6.474423827,-0.958317567,0.010151479
,ENSG00000146374.13,8,0,0,0,0,-9.468906927,-8.536993425,-8.502695343,-8.295725292,-8.183852824,-0.957883507,0.010309779
,ENSG00000225792.1,1,0,0,0,0,2.933147368,3.814925855,3.839088013,3.912083083,3.914199846,-0.9945531,0.000482173
,ENSG00000214415.3,5,0,0,0,0,0,4.590087924,2.996382788,3.531813162,3.841464664,-0.945420962,0.015180458
,ENSG00000234224.2,11,0,0,0,0,4.305526042,5.755992786,5.294141312,5.857496637,5.469057279,-0.9319179,0.021105601
,ENSG00000221866.9,34,0,0.588671863,0,0.219232865,-3.56977443,-3.208600939,-3.347200343,-3.301823757,-3.308857856,-0.929766048,0.022106781
,ENSG00000177182.10,9,0,0,0,0,-1.596645492,1.418962085,0.637710493,1.582498994,1.277526065,-0.9621132,0.008802016
,ENSG00000104435.13,20,0,0,0,0,-6.450492418,-4.716815351,-4.777586776,-4.346747004,-5.327176829,-0.904268777,0.03504109
,ENSG00000259305.6,36,0,0,0,0.164325673,-1.109915065,2.102478319,2.566511563,1.503180122,2.978360345,-0.939438272,0.017727446
,ENSG00000008513.14,1,0,0.224430669,0,0.428902898,-3.565363009,-3.188705032,-3.362849344,-3.261082897,-3.516812743,-0.904165481,0.035097259
,ENSG00000104522.15,0,0,0.605442922,0,0,0.146705991,0.216105072,-0.15558348,0.122648794,0.243774646,-0.950565141,0.013095948
,ENSG00000197858.10,1,0,0,0,0,-2.255517861,-2.028880961,-2.096180334,-2.041251213,-2.011315048,-0.947906138,0.014160894
,ENSG00000107099.15,17,0,0,0,0,-0.534360666,0.894211392,0.741666876,1.009210931,0.483885752,-0.948489218,0.013925048
,ENSG00000107165.12,4,0,0.07243797,0,0,-1.479540345,1.736070721,1.190733232,3.133564309,1.608391544,-0.905415323,0.034419573
,ENSG00000164970.14,5,0,0,0,0.195706357,-0.443749193,0.226012705,0.065857044,0.128294386,-0.067734775,-0.925145347,0.024306626
,ENSG00000185972.5,8,0,0,0,1.422099981,-8.436061475,-2.877531218,-4.445316394,-4.011210683,-2.932479198,-0.911040452,0.031422521
,ENSG00000225937.2,3,0,0,0,0.092723224,-3.813604053,1.627616478,0.66551815,1.604319037,0.273216195,-0.970547209,0.006040815
,ENSG00000148053.15,11,0,0,0,0,-4.149250526,-2.641974462,-3.113824621,-2.585112513,-3.088413635,-0.920771714,0.026449931
