sig2,gene,S2-T1,S2-T2,S2-T3,S2-T4,S2-T5,S2-T1,S2-T2,S2-T3,S2-T4,S2-T5,Correlation,P-value
,ENSG00000283039.1,0,0,0.156441523,0,0,7.85404941,7.927810126,6.611090912,8.073978663,7.923861651,-0.991109249,0.001004989
,ENSG00000123091.4,0,0,2.028036288,0,0,-1.543392844,-1.518383029,-1.868576167,-1.480078072,-1.597551488,-0.961512512,0.009011353
,ENSG00000162437.14,0,0,0.228052781,0,0,0.89955075,1.003807473,0.704063919,0.908794232,0.938782231,-0.931484689,0.021305949
,ENSG00000197147.13,0,0,0.847385488,0,0,3.75764128,3.792786424,3.542930621,3.817330661,3.892728134,-0.926140868,0.023826994
,ENSG00000081026.18,0,0,0.237237974,0,0,-1.191467653,-1.255014814,-1.483227763,-1.252728786,-1.292730877,-0.94533271,0.015217087
,ENSG00000143324.13,0,0,0.415028696,0,0,0.894312088,0.833646258,0.591634108,0.830778958,0.818903163,-0.967937798,0.006858421
,ENSG00000118965.14,0,0,0.379955256,0,0,0.751608601,0.888164418,0.544931019,0.765142312,0.779265801,-0.900984837,0.036840774
,ENSG00000119787.13,0,0,0.243330288,0,0,0.97030106,0.981991387,0.842922231,1.005544583,1.017311864,-0.964072718,0.008130477
,ENSG00000240401.8,0,0,0.489739846,0,0,1.826789395,1.612543456,-0.332942367,1.481504952,1.173057065,-0.961616854,0.008974874
,ENSG00000275052.4,0,0,0.067090929,0,0,-0.484643722,-0.460318604,-0.573409006,-0.481471266,-0.458309474,-0.967514228,0.006994328
,ENSG00000155052.14,0,0,0.309613008,0,0,4.586567497,4.661802207,3.592013628,4.212212312,4.350935406,-0.905731532,0.03424879
,ENSG00000136531.15,0,0,0.135155543,0,0,-1.299833513,-1.202466792,-1.713265525,-1.24147682,-1.423762029,-0.91399373,0.029884461
,ENSG00000128708.12,0,0,0.725558055,0,0,0.146232419,0.147947333,0.04086598,0.198047617,0.1945527,-0.921587823,0.026045578
,ENSG00000128699.13,0,0,0.116313141,0,0,-0.573006363,-0.484053663,-0.726388957,-0.553266847,-0.579972095,-0.903388711,0.035520561
