sig0,gene,S2-T1,S2-T2,S2-T3,S2-T4,S2-T5,S2-T1,S2-T2,S2-T3,S2-T4,S2-T5,Correlation,P-value
,ENSG00000116254.17,1,0,0,0.670455145,1,5.599798445,5.866328119,6.009130291,5.566595558,5.60558639,-0.909147157,0.032421481
,ENSG00000116871.15,0,0,0,0,1,-2.807315418,-2.944817426,-2.911637391,-2.953578456,-3.209088112,-0.919755975,0.026955988
,ENSG00000010803.16,3,1,1.653091614,1.437395549,10,-1.696211582,-1.716440251,-1.64091222,-1.607912519,-1.965350518,-0.942611274,0.016360609
,ENSG00000283039.1,0,0,0.843558477,0,0,7.85404941,7.927810126,6.611090912,8.073978663,7.923861651,-0.991109249,0.001004989
,ENSG00000117859.18,1,0,0.891274647,0,4,0.650221907,0.740776109,0.616909263,0.63750278,0.481076404,-0.908015457,0.033023366
,ENSG00000197147.13,1,0,2.152614512,0,0,3.75764128,3.792786424,3.542930621,3.817330661,3.892728134,-0.93992291,0.017516379
,ENSG00000154511.11,0,2,0,0,5,-2.333564276,-2.444613806,-2.363936228,-2.46054572,-2.663345331,-0.914201579,0.029777151
,ENSG00000160789.19,0,0,0,0,6,-5.078606734,-5.182952802,-5.134027302,-5.254202648,-5.564704649,-0.941209624,0.016960001
,ENSG00000076321.10,2,1,1.713908846,0,0,-1.711057783,-1.465391203,-1.676183463,-1.441100612,-1.44970686,-0.92403156,0.024846881
,ENSG00000152904.11,0,1,0,0,1,-0.390607735,-0.604384803,-0.403596625,-0.458395585,-0.698964745,-0.950296768,0.013202196
,ENSG00000237883.1,0,0,0,0,3,0.547621869,0.523315621,0.448160291,0.448684868,0.077095871,-0.972580403,0.005427891
,ENSG00000068654.15,1,0,0.846312097,0,0,-0.123277355,0.35123318,-0.124106401,0.245714723,0.260196593,-0.97834735,0.003812281
,ENSG00000115596.3,0,0,0,0,1,3.529990815,4.402361161,3.560981034,3.514763325,1.211273481,-0.949410536,0.013555035
,ENSG00000284820.1,1,0,0,0,0,-3.110057228,-1.803229072,-1.338343094,-1.544466784,-1.473255165,-0.972197799,0.005541574
,ENSG00000163705.12,0,0,1.616798682,0,0,2.988960334,3.007752088,2.000039097,3.223108385,3.361321045,-0.957137648,0.010583657
,ENSG00000077097.15,0,0,4.75707733,0.82657912,5,0.294275791,0.291140077,0.241091479,0.287431111,0.225818239,-0.988152571,0.001545243
,ENSG00000170248.13,0,0,0.833394631,0,0,-1.909717354,-1.825183435,-2.035072854,-1.819856167,-1.835192218,-0.917574567,0.028053176
,ENSG00000114650.18,3,0,0.865964454,0,0,-0.345679228,-0.15970686,-0.239595597,-0.12766808,-0.143286219,-0.974556759,0.004853198
,ENSG00000188315.7,1,0,0,0,0,-1.851070085,-1.404305436,-1.49054229,-1.521820835,-1.440458381,-0.967540774,0.006985785
,ENSG00000163602.10,2,0,2.626306675,0.66906121,1,0.066265132,0.347328662,-0.090461803,0.407016367,0.30586504,-0.937943777,0.018383468
,ENSG00000163913.11,2,0,0,0,1,-0.559594053,-0.480491645,-0.46043344,-0.478284079,-0.488464903,-0.927355433,0.023246027
,ENSG00000197980.12,0,0,0,0,3,-2.663047877,-2.21395243,-2.886190732,-2.695899579,-4.610788067,-0.963896166,0.008190262
,ENSG00000168779.19,2,0,0,1.2821281,2,-9.371924557,-8.093739593,-7.832616129,-8.614250998,-9.978140054,-0.939272908,0.017799653
,ENSG00000114204.14,0,0,0.93624009,0,0,4.950016777,5.038905805,4.150406985,4.872373151,5.064754348,-0.979709074,0.003459078
,ENSG00000090534.18,0,1,0,0,2,2.085367682,1.30996098,2.215210524,1.966119559,1.182092797,-0.935980946,0.019256739
,ENSG00000151834.15,4,0,0.865964454,0,1,8.100171735,8.719007423,8.528412319,8.833517638,8.560951541,-0.976494087,0.004310844
,ENSG00000033178.12,2,0,2.660797527,0,0,-0.441275428,-0.142407234,-0.438778428,-0.173399501,-0.153146771,-0.98011008,0.003357248
,ENSG00000164100.8,2,0,0,0,0,-1.586328796,-0.740882847,-0.882536311,-0.974339566,-1.005264279,-0.9481737,0.014052509
,ENSG00000170390.15,0,0,0,0,3,-5.106376821,-5.21991794,-5.418543089,-5.210156943,-5.762314956,-0.900698382,0.036999119
,ENSG00000150627.15,0,0,1.648998457,0,0,0.643450224,0.943871635,0.281762775,0.825526335,0.797996146,-0.908675844,0.032671714
,ENSG00000250761.2,0,0,0.843558477,0,0,2.452110388,2.484311903,2.124581049,2.509317513,2.653247816,-0.918745537,0.027462458
,ENSG00000039139.9,1,0,0,0,6,0.978363222,0.8884452,1.159917942,1.005391263,0.439215416,-0.930873749,0.021589531
,ENSG00000113391.18,0,2,0,0.693622461,0,-2.10030906,-2.271889215,-2.061989599,-2.096563632,-2.05256396,-0.954259244,0.011662361
,ENSG00000223442.1,2,0,0,0,5,0.436302875,0.954256147,1.102443322,0.939409395,0.158960965,-0.955297839,0.011269196
,ENSG00000091009.7,1,0,2.639981598,0,0,1.023288313,1.12845799,0.902800702,1.217310554,1.200415092,-0.950714085,0.013037103
