sig0,gene,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,Correlation,P-value
,ENSG00000230424.1,0,0,0,0.655592585,0,0.965322728,0.810635124,0.711337661,0.069915633,0.909432256,-0.963406764,0.008356738
,ENSG00000130772.13,0,0,0,1.272963217,0,-0.253096865,-0.544037201,-0.26981254,-0.917981876,-0.37912726,-0.906423244,0.03387615
,ENSG00000121774.17,0,0,0,7.039197257,0,0.526034365,0.296710552,0.31264936,-0.054583096,0.462332919,-0.901359118,0.036634208
,ENSG00000197982.13,0,0,0.820520462,0.339359847,0,-0.235790429,-0.565732512,-1.192300585,-0.853194614,-0.188661616,-0.923211982,0.025246867
,ENSG00000178028.13,0,0,4.376156981,1.588049406,0,0.701723042,0.401114938,-0.084902841,0.264199902,0.70314884,-0.920404322,0.026632615
,ENSG00000186790.5,0,0,0,1.493792647,0,3.09565529,2.643384481,2.822974164,0.767231353,3.529346416,-0.949361863,0.013574501
,ENSG00000157077.14,0,3.151272572,0,21.43048795,2.535231636,-0.239515315,-0.187222366,-0.231653922,-0.384555886,-0.236912678,-0.916330948,0.028684954
,ENSG00000162377.5,0,0,0,1.311185169,0,0.588418323,0.753572516,0.558034418,0.286147936,0.656479999,-0.903066442,0.035696656
,ENSG00000116171.17,0,0,0,3.000812087,0,-2.33133941,-2.40854597,-2.337103494,-2.679028327,-2.325375939,-0.974651646,0.004826144
,ENSG00000162613.16,0,3.542697735,0,8.557699676,0,1.256478504,1.174177065,1.268607963,1.055370502,1.191754744,-0.937433403,0.018609268
,ENSG00000142875.19,0,0,0,1.401144543,0,-0.991978019,-0.854970989,-1.037244128,-1.517397294,-1.157861645,-0.902226984,0.036156662
,ENSG00000143079.14,0,0,0,0.905768759,0,-0.960941523,-0.831723562,-0.889140911,-1.422329425,-1.061321507,-0.930394077,0.021813031
,ENSG00000009307.15,0,0.927750346,0,24.40861984,3.956797633,-0.230517512,-0.11331443,-0.184451693,-0.581395315,-0.181237145,-0.956845198,0.010691684
,ENSG00000173218.14,0,0,0,2.136643193,0,-0.38405673,-0.374013033,-0.556814711,-0.803368386,-0.424107591,-0.914516825,0.029614629
,ENSG00000159164.9,0,0.39674058,0,1.993889748,0,0.484109583,0.419410898,0.39679114,0.214092044,0.390538878,-0.914676222,0.029532562
,ENSG00000132718.8,0,0,0.184256882,4.42557446,0,-1.298553202,-1.505727226,-1.357961268,-2.271120935,-1.341443687,-0.979688059,0.003464442
,ENSG00000116586.11,0,0,0,2.840284763,0,-0.232488448,-0.507109783,-0.322677156,-0.840533446,-0.272817507,-0.907268816,0.033422397
,ENSG00000027869.11,0,0.496305529,0,0,0,3.189694252,2.29078618,3.000990608,2.940812889,3.321152268,-0.924919333,0.024415947
,ENSG00000143222.11,0,0,0,0.969750659,0,-0.525295203,-0.398478678,-0.610168257,-1.015267294,-0.622179483,-0.922173153,0.025756807
,ENSG00000134371.11,0,0.6401124,0,16.12234636,0.780767135,0.304386827,0.201548892,0.17052947,-0.127289158,0.320247296,-0.928015839,0.022932084
